('pid constants ', array([ 0.12814939,  0.00099642,  0.00867876]))
('pid constants ', array([ 0.12814939,  0.00099642,  0.00867876]))
('pid constants ', array([ 0.10875668,  0.00053084,  0.00233819]))
('pid constants ', array([ 0.10875668,  0.00053084,  0.00233819]))
('pid constants ', array([ 0.10875668,  0.00053084,  0.00233819]))
('pid constants ', array([ 0.10875668,  0.00053084,  0.00233819]))
('pid constants ', array([ 0.10875668,  0.00053084,  0.00233819]))
('pid constants ', array([ 0.48045635,  0.00076889,  0.00251183]))
('pid constants ', array([ 0.48045635,  0.00076889,  0.00251183]))
('pid constants ', array([ 0.48045635,  0.00076889,  0.00251183]))
('pid constants ', array([ 0.48045635,  0.00076889,  0.00251183]))
('pid constants ', array([ 0.48045635,  0.00076889,  0.00251183]))
('pid constants ', array([ 0.75207688,  0.00075905,  0.00083012]))
('pid constants ', array([ 0.75207688,  0.00075905,  0.00083012]))
('pid constants ', array([ 0.75207688,  0.00075905,  0.00083012]))
('pid constants ', array([ 0.75207688,  0.00075905,  0.00083012]))
('pid constants ', array([ 0.23739688,  0.00068633,  0.00143163]))
('pid constants ', array([ 0.23739688,  0.00068633,  0.00143163]))
('pid constants ', array([ 0.23739688,  0.00068633,  0.00143163]))
('pid constants ', array([ 0.23739688,  0.00068633,  0.00143163]))
('pid constants ', array([ 0.23739688,  0.00068633,  0.00143163]))
('pid constants ', array([ 0.25668915,  0.00055709,  0.00983548]))
('pid constants ', array([ 0.25668915,  0.00055709,  0.00983548]))
('pid constants ', array([ 0.25668915,  0.00055709,  0.00983548]))
('pid constants ', array([ 0.25668915,  0.00055709,  0.00983548]))
('pid constants ', array([ 0.25668915,  0.00055709,  0.00983548]))
('pid constants ', array([ 0.56072953,  0.00092581,  0.00139911]))
('pid constants ', array([ 0.56072953,  0.00092581,  0.00139911]))
('pid constants ', array([ 0.56072953,  0.00092581,  0.00139911]))
('pid constants ', array([ 0.56072953,  0.00092581,  0.00139911]))
('pid constants ', array([ 0.56072953,  0.00092581,  0.00139911]))
('pid constants ', array([ 0.0966952 ,  0.00034663,  0.00720451]))
('pid constants ', array([ 0.7822744 ,  0.00095828,  0.00419831]))
('pid constants ', array([ 0.7822744 ,  0.00095828,  0.00419831]))
('pid constants ', array([ 0.7822744 ,  0.00095828,  0.00419831]))
('pid constants ', array([ 0.7822744 ,  0.00095828,  0.00419831]))
('pid constants ', array([ 0.7822744 ,  0.00095828,  0.00419831]))
('pid constants ', array([  8.65911283e-01,   8.61980420e-04,   4.07356763e-03]))
('pid constants ', array([  8.65911283e-01,   8.61980420e-04,   4.07356763e-03]))
('pid constants ', array([  8.65911283e-01,   8.61980420e-04,   4.07356763e-03]))
('pid constants ', array([  8.65911283e-01,   8.61980420e-04,   4.07356763e-03]))
('pid constants ', array([  8.65911283e-01,   8.61980420e-04,   4.07356763e-03]))
('pid constants ', array([ 0.40554753,  0.00065124,  0.00323578]))
('pid constants ', array([ 0.40554753,  0.00065124,  0.00323578]))
('pid constants ', array([ 0.40554753,  0.00065124,  0.00323578]))
('pid constants ', array([ 0.40554753,  0.00065124,  0.00323578]))
('pid constants ', array([ 0.40554753,  0.00065124,  0.00323578]))
('pid constants ', array([ 0.59249482,  0.00087969,  0.00864374]))
('pid constants ', array([ 0.59249482,  0.00087969,  0.00864374]))
('pid constants ', array([ 0.59249482,  0.00087969,  0.00864374]))
('pid constants ', array([ 0.59249482,  0.00087969,  0.00864374]))
('pid constants ', array([ 0.59249482,  0.00087969,  0.00864374]))
('pid constants ', array([  5.72719397e-01,   2.38931784e-04,   7.51071361e-03]))
('pid constants ', array([  5.72719397e-01,   2.38931784e-04,   7.51071361e-03]))
('pid constants ', array([  5.72719397e-01,   2.38931784e-04,   7.51071361e-03]))
('pid constants ', array([  5.72719397e-01,   2.38931784e-04,   7.51071361e-03]))
('pid constants ', array([  5.72719397e-01,   2.38931784e-04,   7.51071361e-03]))
('pid constants ', array([  2.48064616e-01,   6.73878552e-05,   3.41097719e-03]))
('pid constants ', array([  2.48064616e-01,   6.73878552e-05,   3.41097719e-03]))
